902 1800
3.60925 -5.52431 81.36101
49.20426 -22.44798 82.86035
-8.06147 9.12884 79.65304
-39.49244 -2.22178 91.51570
4.63304 -23.75189 85.09610
95.32100 1.07333 87.22497
39.39112 17.99096 71.81861
-27.40959 45.74124 69.68861
-70.58861 41.06903 88.04165
-94.98876 10.21733 91.15431
-59.70509 -36.81143 87.82268
-10.96366 -54.73384 76.43143
72.63097 -47.47264 83.35965
124.39516 8.49487 67.00515
88.73262 34.61328 53.01310
44.67276 50.91100 48.66561
-28.46137 78.47589 55.36489
-76.35986 76.93288 75.55252
-105.21422 55.26669 80.24249
-119.10539 -9.41556 59.89288
-105.57267 -40.92009 61.93040
-71.06233 -70.21755 67.22038
-19.71580 -82.70450 61.36507
51.64891 -72.07668 70.10092
113.84163 -38.41959 77.96181
142.21959 -0.29072 24.44865
115.39257 33.54998 19.05109
81.40284 54.86321 26.49332
40.73063 74.81994 27.59643
-15.70502 101.60809 33.71749
-68.37870 100.33726 52.87134
-109.04438 85.16447 56.39337
-125.36870 58.82539 32.82709
-125.79788 4.66315 21.54551
-119.36698 -49.57442 19.21672
-96.63988 -67.86781 26.27692
-65.28974 -90.44960 41.56458
-19.43242 -99.20240 33.38473
38.92790 -92.82781 52.69776
90.73066 -69.51644 47.26324
130.04837 -45.03646 48.23476
143.24153 -8.17029 1.45225
124.41861 19.05231 7.03350
93.67191 45.13436 3.39733
57.96769 68.83005 11.08159
18.45716 87.43540 4.08933
-17.08335 105.40436 14.15268
-72.57800 111.03631 15.06391
-105.82498 98.23017 6.85632
-125.20066 75.11771 -11.80413
-133.29678 53.12991 -11.13691
-125.33939 11.88708 0.15225
-115.01730 -29.87687 -0.60012
-97.92080 -58.43095 -9.36248
-77.27848 -79.47262 6.12576
-49.00029 -101.05233 16.80927
-12.66590 -104.85630 14.79836
40.32650 -103.06880 21.83546
76.65788 -86.87496 22.28010
109.52920 -63.09938 12.27069
138.44531 -39.93514 2.35850
126.17409 -8.84899 -13.24262
101.49479 21.34266 -10.52875
66.75089 53.77086 -14.81990
11.05169 75.92568 -13.85294
-33.43636 93.56958 -12.59971
-73.25815 93.54464 -33.73250
-90.16080 70.98534 -43.47625
-112.14935 44.15354 -50.41450
-116.66179 11.39617 -24.80662
-100.07468 -24.67375 -23.01057
-76.40208 -58.20060 -26.45062
-40.29723 -83.26695 -20.54496
2.11930 -94.28832 -11.28863
55.00754 -86.47383 -19.54790
87.05548 -63.89335 -27.54407
116.24596 -40.79270 -25.72139
93.98493 -14.11290 -34.31836
66.87265 18.53548 -36.50303
7.86905 47.08544 -34.10445
-38.90715 71.33659 -40.28615
-51.55910 61.96864 -52.92908
-81.98866 36.13759 -58.37347
-95.17513 15.77001 -48.56003
-70.89833 -16.85486 -40.15397
-31.80959 -52.18527 -37.42433
16.91071 -71.77580 -34.82960
54.22394 -57.33279 -43.07497
80.72407 -35.14007 -44.08466
54.08110 -19.96140 -49.19892
9.10392 3.63247 -49.70969
-38.45940 33.97449 -55.43158
-59.45101 27.01278 -64.22707
-70.29972 11.61411 -64.07974
-45.99045 -10.80979 -57.10468
0.36587 -34.79285 -49.88950
21.71923 -25.69934 -53.31002
-6.97892 -10.21182 -58.82347
-36.52192 11.00940 -67.48301
-56.55366 8.92122 -67.80596
-45.21493 -0.48001 -64.76344
-36.77799 2.54549 -66.49008
16.48554 -8.02711 79.89523
-13.56178 0.93176 83.65581
-10.08172 -8.29646 85.74254
21.04189 -16.83940 82.23085
64.23982 -2.92289 82.98303
28.36077 -1.76484 78.27241
-0.70790 22.79922 73.25683
-38.62328 32.42568 79.56883
-41.46056 16.16283 87.49800
-71.51390 18.70736 93.87448
-66.75009 -9.67698 93.86334
-32.59965 -21.20867 90.41719
-23.69715 -37.97729 84.28571
23.83113 -42.69704 81.42987
48.15035 -34.70310 84.08489
80.08982 -26.53599 87.23123
104.90530 19.84708 73.52832
75.72256 20.69882 73.08980
59.48990 35.11387 57.58931
18.66476 37.69251 62.76007
-5.58731 58.07286 57.88202
-49.41076 68.48299 67.82180
-62.64292 56.75938 78.69375
-87.37048 62.22539 84.50693
-94.02024 40.37499 90.69792
-109.34555 19.47705 81.41201
-110.28493 -14.90372 74.43450
-90.42101 -22.54394 83.87920
-82.30406 -51.33828 75.09834
-51.20899 -55.96209 79.21023
-37.76017 -70.01491 70.20914
5.21205 -70.78943 70.08839
40.19907 -60.49478 76.74442
85.73340 -55.81188 78.73726
102.53025 -28.82566 86.91395
116.78582 -5.69678 84.02677
130.42640 17.36006 37.01957
111.84800 29.07099 46.12419
96.86508 42.64695 30.15107
75.89040 47.54472 41.48930
61.18429 60.72846 34.19728
21.06924 68.23163 43.34925
-0.22329 86.26474 39.36730
-38.50096 96.10002 50.31425
-60.06470 87.53682 64.27650
-84.91756 89.86114 67.21559
-98.52051 76.57729 76.33924
-114.99369 70.29163 60.17058
-117.54745 35.59688 61.04965
-124.34148 17.01936 39.36179
-123.53302 -24.44292 34.41190
-118.57092 -38.88479 47.20161
-110.94568 -55.09355 33.28814
-94.89858 -61.32696 52.42014
-80.74656 -78.19467 46.76842
-55.24227 -83.33798 58.86623
-38.19577 -92.06221 46.23288
-1.33653 -92.72062 50.25744
22.40489 -84.36601 63.48749
60.77635 -79.85751 58.13282
89.34925 -61.99497 65.76214
115.11167 -52.76098 59.60088
127.73925 -24.96873 70.49501
136.36104 -11.85493 50.40615
140.23824 4.74434 10.07026
130.10851 20.58466 15.55239
111.97683 33.82554 7.44562
97.70218 45.83109 13.39856
78.86597 57.54542 14.44201
63.96803 66.68782 22.79551
43.02256 77.29931 13.62193
19.44649 88.80571 20.75085
0.10399 100.27420 17.06057
-34.64581 109.87402 23.87487
-54.63941 108.24335 37.32075
-87.33496 107.05428 27.64000
-97.13559 97.06685 43.61374
-117.73924 87.79694 18.80358
-123.80070 77.46750 26.78590
-131.93998 68.68328 0.18579
-130.65088 45.01548 14.26698
-129.80377 27.04096 4.88110
-122.45807 -5.68701 8.52056
-121.23819 -30.13953 13.73542
-111.67664 -50.49279 0.33367
-106.35704 -61.37548 7.89536
-91.37598 -69.21666 5.33044
-82.02551 -80.35402 25.70190
-67.29595 -92.75918 24.42551
-49.48186 -99.18764 32.09860
-31.19920 -103.95929 21.65443
2.80724 -104.35580 23.22289
22.19680 -100.57451 38.33714
56.44648 -97.53441 36.86360
69.95726 -85.10041 43.40100
92.47879 -74.05453 28.55615
111.84022 -62.12615 37.22554
128.04291 -54.16252 21.52958
140.97025 -31.77488 26.03349
145.77626 -17.44865 7.65258
134.11279 1.38248 -1.09725
118.38551 11.99656 -3.81272
107.19466 29.62422 1.23273
90.17650 41.42015 -7.18986
74.67668 57.55448 0.51346
46.93733 68.45810 -4.69365
30.65393 78.21701 0.52077
-0.50077 85.86640 -9.01616
-7.62890 96.65888 1.96404
-41.63078 105.96474 6.85540
-66.47768 102.21959 -12.26129
-91.35094 104.73361 -5.40628
-92.48262 90.57355 -26.88162
-110.62443 82.75027 -19.05715
-111.25485 63.58860 -40.98644
-127.31092 60.70716 -30.06793
-123.43978 39.30507 -32.71442
-127.13690 27.46242 -11.90833
-119.50593 -3.42052 -6.51861
-111.12233 -17.04623 -15.21507
-104.72684 -40.97237 -11.78242
-92.90847 -48.70231 -21.20126
-85.07519 -66.43547 -12.39644
-67.25536 -75.77032 -15.32255
-58.76734 -90.34886 2.02739
-32.02890 -94.86456 -6.30885
-23.10791 -102.19041 6.92394
10.68357 -102.61387 8.08479
37.21995 -96.54000 -4.30188
62.19085 -95.41253 9.92250
74.73284 -81.35895 -9.76693
91.74443 -72.32779 1.88467
106.27644 -56.84600 -16.22104
124.26276 -50.94664 -5.18240
130.23499 -32.20394 -15.05549
139.75996 -20.00551 -5.65476
108.06619 -0.33729 -19.17278
89.86769 8.92874 -27.63912
82.44925 33.38179 -21.30241
50.06525 42.67885 -29.16187
29.16885 61.88216 -20.67508
-10.14798 66.68334 -29.50237
-23.30715 81.19925 -23.72335
-51.43631 87.82291 -32.12932
-53.67202 78.04717 -46.13023
-68.59421 78.25514 -46.37414
-71.49944 57.11935 -53.08777
-94.85801 49.32348 -54.54161
-97.90435 31.79909 -56.22709
-109.10193 24.30531 -44.82211
-105.06251 1.38454 -32.17846
-90.18237 -6.69588 -36.34175
-84.24765 -33.50873 -29.61545
-60.83382 -43.91378 -34.35142
-50.46674 -67.32327 -29.81661
-17.04362 -71.34095 -32.35860
-6.37172 -84.21139 -25.13247
27.16087 -85.21915 -25.14593
45.56050 -73.65655 -35.08834
67.83824 -71.19696 -33.64801
76.89815 -52.17928 -41.54302
97.86673 -46.10619 -35.89695
99.52521 -30.49921 -37.05682
114.13280 -21.60778 -26.40827
74.66011 -6.88470 -41.86671
46.73556 -1.84190 -45.98665
29.55694 22.85502 -40.15588
-10.17825 26.65060 -46.34967
-27.37950 50.78775 -43.94854
-43.59559 56.97999 -51.16916
-49.50407 41.39276 -58.39698
-62.32950 41.82632 -58.47297
-71.88912 24.51653 -63.77228
-84.04644 21.59936 -59.39238
-79.14345 5.70558 -51.99466
-61.61336 -4.37636 -54.90613
-47.93076 -26.99530 -44.13456
-23.72258 -32.74353 -47.96509
-0.81703 -54.30223 -40.66789
28.52874 -56.02004 -42.94943
27.44496 -39.25444 -49.33999
55.17000 -39.36950 -47.56722
55.04498 -28.03410 -49.59929
78.73873 -24.21271 -44.10537
21.20570 -13.24814 -52.39400
-11.39489 -1.13336 -59.43397
-25.13868 14.24389 -58.90912
-47.63261 23.75648 -64.49595
-53.38300 16.20197 -68.35288
-63.39888 15.50015 -67.35666
-58.80464 4.07844 -65.00703
-54.62239 1.95169 -65.15693
-33.95770 -12.52434 -58.82532
-12.19941 -17.60050 -57.33083
-15.07166 -10.87973 -59.79643
23.50388 -20.85240 -54.00957
-26.19646 0.39213 -65.15463
-43.07467 7.58383 -68.50726
-50.01221 5.26089 -67.27030
-33.39960 -1.48280 -64.24686
14.05788 -9.68461 80.68375
30.61661 -17.25367 81.22925
32.71398 -12.62916 80.21160
13.13523 -1.51208 78.88910
-1.33958 0.58243 80.66404
2.37021 -3.73148 80.99864
-21.03512 8.34825 83.58743
-31.49690 4.65305 87.94144
-21.49719 -2.90136 87.15222
-6.54430 -3.36790 83.19915
-27.18676 -10.75067 89.81238
-12.95239 -16.83340 87.40862
5.36522 -15.13615 84.32609
4.65851 -8.76068 82.56687
25.47255 -25.03788 83.71446
41.27871 -26.37703 83.08672
66.52999 -18.99069 85.20434
81.79282 -9.25523 87.23762
79.02877 7.52211 82.56241
59.76510 12.27656 76.65117
43.92422 3.63529 78.08180
48.78415 -11.12788 81.68993
21.89174 12.25198 74.50376
6.26115 9.42136 76.80393
18.37221 25.89067 69.17645
-4.17204 35.22458 68.50362
-23.50836 33.68657 73.94309
-16.52791 21.14313 77.36432
-44.57836 45.21169 76.07345
-58.72110 44.11690 82.43477
-51.33348 30.14251 85.49101
-29.81985 19.21677 82.26657
-62.28099 25.90964 90.62477
-51.33032 10.65060 91.83719
-80.38761 35.07578 91.96978
-88.45329 25.00806 93.35998
-79.07266 7.64474 94.41627
-59.71241 1.99626 94.28628
-85.33512 -6.44971 91.03099
-73.08739 -23.37634 89.85039
-53.17629 -23.77969 91.85244
-46.38797 -11.91166 93.07053
-39.18320 -32.64909 88.38171
-17.52964 -27.06882 86.96962
-45.82295 -44.41551 84.47411
-29.97180 -49.29529 80.22526
-4.45581 -44.25883 80.52618
1.28829 -33.69047 83.69323
17.60318 -52.51213 78.01262
47.35079 -51.56569 80.41942
50.47564 -42.94426 83.03701
26.56433 -33.61978 83.57081
70.03550 -38.51136 85.26436
61.82132 -30.45323 85.03172
88.37574 -35.57674 86.58816
95.03672 -17.68777 88.71107
107.04524 7.31309 83.98427
116.56052 9.41544 77.35094
114.55977 20.73652 63.76564
102.26418 28.89228 58.03502
90.21688 26.31327 67.15827
92.80266 15.72482 79.64790
74.90838 30.74263 61.20033
57.95006 24.84318 67.47272
75.54186 39.43479 50.34541
61.86047 44.57801 49.02189
42.26913 40.99479 56.02523
39.35070 30.16514 63.95861
20.17349 48.71270 56.24768
-5.38135 46.90609 63.28381
21.03537 58.93744 49.79444
-5.41792 68.36799 52.33293
-30.01918 68.46924 60.58020
-29.28947 57.44520 65.19677
-48.14973 78.73098 63.07868
-63.36112 78.50194 69.76797
-64.27445 68.22969 74.44688
-48.19093 57.24880 72.15786
-76.51970 66.50613 80.20363
-74.91766 54.57011 84.43385
-88.09449 73.03666 79.95057
-97.71526 66.32517 81.78588
-96.43023 54.33538 86.52316
-85.40901 49.68712 88.71027
-103.68814 39.85380 85.73454
-100.82544 24.99424 89.51545
-111.18124 37.06470 75.57050
-115.80045 13.72172 68.83165
-113.80505 -3.22376 73.41010
-106.19553 5.48330 84.10153
-117.03158 -23.49247 61.54643
-112.82615 -32.45984 61.56938
-103.62574 -25.73930 74.21906
-100.05221 -7.85566 84.46350
-94.04986 -38.36774 74.41574
-78.45250 -37.83272 83.31308
-95.61849 -51.48118 63.65881
-84.06332 -61.98224 65.88674
-69.39833 -60.63256 74.97376
-65.35383 -49.48705 81.90838
-54.71666 -66.22495 73.15051
-34.84778 -60.13983 75.46621
-55.93033 -75.41122 66.54533
-38.59645 -79.05842 64.22354
-18.47182 -74.32513 67.48113
-15.85823 -64.76049 72.16064
2.13885 -79.54653 65.60539
26.22267 -76.51706 68.41118
32.26708 -68.54032 72.54910
10.65747 -61.96945 74.13733
60.45984 -64.47243 75.46898
68.65151 -56.45341 79.97372
76.81528 -64.17657 72.01377
98.50688 -52.65061 74.86058
103.70368 -41.43443 82.25042
90.23224 -45.72643 83.67410
113.52780 -23.56071 84.72002
107.03967 -9.55113 88.03403
121.67396 -22.49461 79.37153
124.38232 -6.22162 76.41267
131.56148 6.02731 53.08314
137.77203 2.97856 37.98368
135.68862 13.80349 25.27254
126.33201 24.81316 22.41809
120.13890 27.70967 33.04517
123.05299 19.73528 50.86353
108.56127 35.71350 30.13936
99.63904 36.15916 42.37086
103.97069 41.20497 19.12499
92.54269 48.27329 22.55065
85.53088 48.89206 32.50331
87.71220 42.12651 41.12321
74.35465 54.69999 34.09685
62.83621 53.13902 41.27826
70.31228 61.10493 28.10567
57.27473 67.52060 27.93715
43.14941 67.89202 34.63916
44.60480 59.86789 41.61366
21.48913 76.61370 36.52960
-3.52428 77.89098 46.30100
21.33798 83.57690 28.82701
2.27284 92.96972 31.48110
-18.27195 95.50084 41.84457
-23.53244 87.54781 49.14896
-35.84022 103.10652 41.66599
-53.40033 102.53351 48.01931
-55.43458 95.47398 57.12175
-43.80233 87.96077 57.44306
-70.60460 93.48440 62.87140
-74.16232 85.81472 70.16364
