66	128
-0.295372	0.124306	0.735456
0.519778	-0.442169	0.683135
0.448721	-0.190327	0.603962
-0.940300	0.257002	0.557752
-0.261384	-0.608138	0.544307
1.123631	0.237012	0.822105
0.752584	0.545908	1.074682
-0.241830	1.200422	1.359840
-0.682566	0.567249	0.700712
-1.052259	0.385989	0.617527
-1.046732	-0.654610	0.756974
-0.331303	-1.027838	0.825952
0.827765	-0.689735	0.762125
1.257081	0.274534	0.850669
1.023804	0.727160	0.798485
0.696200	1.006529	0.797587
0.168997	1.433643	0.959627
-0.663964	1.277161	0.954894
-0.822939	0.711358	0.525180
-1.095514	0.211850	0.618410
-1.099657	-0.661619	0.729885
-0.715431	-0.944978	0.786731
-0.258414	-1.140783	0.798066
0.762986	-1.010996	0.938547
1.167665	-0.664005	0.569746
1.451719	-0.160046	0.592417
1.181752	0.527258	0.582456
0.925758	0.779771	0.680320
0.596834	1.069281	0.112168
-0.199115	1.323773	-0.182768
-0.672910	1.277916	0.285630
-0.775563	0.940985	-0.730583
-1.073111	0.718192	-0.590092
-1.185144	0.038123	0.431298
-1.163787	-0.506476	0.581445
-0.934518	-0.939580	0.630346
-0.909601	-1.147223	0.476634
-0.428118	-1.184143	0.651137
0.730595	-1.043530	0.799529
0.928239	-0.979431	0.533320
1.256365	-0.770683	0.322351
1.593935	-0.464963	-0.759439
1.038177	0.467212	-0.882539
0.633891	0.819338	-0.871466
0.039940	1.007360	-0.792920
-0.382776	0.984196	-0.724439
-1.083726	0.812599	-0.889795
-1.244854	0.076585	-1.037912
-0.946837	-0.609594	-0.611235
-0.718702	-0.929307	-0.688240
-0.264983	-1.115791	-0.440783
0.926312	-1.061754	-0.103348
1.390704	-0.956722	-0.213826
1.433285	-0.151616	-1.194378
1.010193	0.296770	-1.180710
0.240286	0.850558	-1.054830
-0.805924	0.599741	-1.064823
-1.085951	-0.155516	-1.028358
-0.597040	-0.624837	-0.992984
0.062232	-1.014408	-0.877891
0.879390	-0.622253	-1.105809
0.870719	-0.267355	-1.539874
0.282816	0.623846	-1.348133
-0.471944	-0.264062	-1.162287
0.171589	-0.740321	-1.333075
0.509724	-0.018655	-1.426567
1	2	3
1	3	4
1	4	5
1	5	2
2	6	7
7	3	2
3	7	8
3	8	9
9	4	3
4	9	10
4	10	11
11	5	4
5	11	12
5	12	13
13	2	5
2	13	6
6	14	15
15	7	6
7	15	16
16	8	7
8	16	17
8	17	18
18	9	8
9	18	19
19	10	9
10	19	20
10	20	21
21	11	10
11	21	22
22	12	11
12	22	23
12	23	24
24	13	12
13	24	25
25	6	13
6	25	14
14	26	27
27	15	14
15	27	28
28	16	15
16	28	29
29	17	16
17	29	30
17	30	31
31	18	17
18	31	32
32	19	18
19	32	33
33	20	19
20	33	34
20	34	35
35	21	20
21	35	36
36	22	21
22	36	37
37	23	22
23	37	38
23	38	39
39	24	23
24	39	40
40	25	24
25	40	41
41	14	25
14	41	26
42	27	26
43	27	42
43	28	27
44	28	43
44	29	28
45	29	44
45	30	29
45	31	30
46	31	45
46	32	31
47	32	46
47	33	32
48	33	47
48	34	33
48	35	34
49	35	48
49	36	35
50	36	49
50	37	36
51	37	50
51	38	37
51	39	38
52	39	51
52	40	39
53	40	52
53	41	40
42	41	53
42	26	41
54	43	42
55	43	54
55	44	43
56	44	55
56	45	44
56	46	45
57	46	56
57	47	46
58	47	57
58	48	47
58	49	48
59	49	58
59	50	49
60	50	59
60	51	50
60	52	51
61	52	60
61	53	52
54	53	61
54	42	53
62	55	54
63	55	62
63	56	55
63	57	56
64	57	63
64	58	57
64	59	58
65	59	64
65	60	59
65	61	60
62	61	65
62	54	61
66	63	62
66	64	63
66	65	64
66	62	65
